timestamp,fakeId,attackerId,posX,posY
25.3,2002,2,333,171.8
25.3,2003,2,343,181.8
25.3,2004,2,353,191.8
25.3,2005,2,363,201.8
25.4,2001,2,324,162.4
25.4,2002,2,334,172.4
25.4,2003,2,344,182.4
25.4,2004,2,354,192.4
25.4,2005,2,364,202.4
25.5,2001,2,325,163
25.5,2002,2,335,173
25.5,2003,2,345,183
25.5,2004,2,355,193
25.5,2005,2,365,203
25.6,2001,2,326,163.6
25.6,2002,2,336,173.6
25.6,2003,2,346,183.6
25.6,2004,2,356,193.6
25.6,2005,2,366,203.6
25.7,2001,2,327,164.2
25.7,2002,2,337,174.2
25.7,2003,2,347,184.2
25.7,2004,2,357,194.2
25.7,2005,2,367,204.2
25.8,2001,2,328,164.8
25.8,2002,2,338,174.8
25.8,2003,2,348,184.8
25.8,2004,2,358,194.8
25.8,2005,2,368,204.8
25.9,2001,2,329,165.4
25.9,2002,2,339,175.4
25.9,2003,2,349,185.4
25.9,2004,2,359,195.4
25.9,2005,2,369,205.4
26,2001,2,330,166
26,2002,2,340,176
26,2003,2,350,186
26,2004,2,360,196
26,2005,2,370,206
26.1,2001,2,331,166.6
26.1,2002,2,341,176.6
26.1,2003,2,351,186.6
26.1,2004,2,361,196.6
26.1,2005,2,371,206.6
26.2,2001,2,332,167.2
26.2,2002,2,342,177.2
26.2,2003,2,352,187.2
26.2,2004,2,362,197.2
26.2,2005,2,372,207.2
26.3,2001,2,333,167.8
26.3,2002,2,343,177.8
26.3,2003,2,353,187.8
26.3,2004,2,363,197.8
26.3,2005,2,373,207.8
26.4,2001,2,334,168.4
26.4,2002,2,344,178.4
26.4,2003,2,354,188.4
26.4,2004,2,364,198.4
26.4,2005,2,374,208.4
26.5,2001,2,335,169
26.5,2002,2,345,179
26.5,2003,2,355,189
26.5,2004,2,365,199
26.5,2005,2,375,209
26.6,2001,2,336,169.6
26.6,2002,2,346,179.6
26.6,2003,2,356,189.6
26.6,2004,2,366,199.6
26.6,2005,2,376,209.6
26.7,2001,2,337,170.2
26.7,2002,2,347,180.2
26.7,2003,2,357,190.2
26.7,2004,2,367,200.2
26.7,2005,2,377,210.2
26.8,2001,2,338,170.8
26.8,2002,2,348,180.8
26.8,2003,2,358,190.8
26.8,2004,2,368,200.8
26.8,2005,2,378,210.8
26.9,2001,2,339,171.4
26.9,2002,2,349,181.4
26.9,2003,2,359,191.4
26.9,2004,2,369,201.4
26.9,2005,2,379,211.4
27,2001,2,340,172
27,2002,2,350,182
27,2003,2,360,192
27,2004,2,370,202
27,2005,2,380,212
27.1,2001,2,341,172.6
27.1,2002,2,351,182.6
27.1,2003,2,361,192.6
27.1,2004,2,371,202.6
27.1,2005,2,381,212.6
27.2,2001,2,342,173.2
27.2,2002,2,352,183.2
27.2,2003,2,362,193.2
27.2,2004,2,372,203.2
27.2,2005,2,382,213.2
27.3,2001,2,343,173.8
