timestamp,nodeId,neighborCount,minDistance
6,116,1,86.3256
6,117,10,45.5991
6,118,2,5.49401
6,119,3,172.755
6,120,3,6.12719
6,121,3,151.519
6,122,8,42.0313
6,123,5,36.881
6,124,8,3.98935
6,125,6,172.658
6,126,6,1.44101
6,127,5,50.7467
6,128,7,147.262
6,129,3,72.5593
6,130,5,43.6289
6,131,6,1.79805
6.2,0,4,105.219
6.2,1,2,1.44003
6.2,2,7,36.881
6.2,3,8,25.2548
6.2,4,5,107.52
6.2,5,7,93.5823
6.2,6,5,156.74
6.2,7,8,132.288
6.2,8,2,51.0006
6.2,9,2,132.134
6.2,10,3,1.36682
6.2,11,2,1.35695
6.2,12,4,18.2263
6.2,13,4,48.5988
6.2,14,4,118.439
6.2,15,5,77.6631
6.2,16,4,19.0349
6.2,17,5,21.4699
6.2,18,3,93.392
6.2,19,1,0.310161
6.2,20,2,1.44003
6.2,21,4,3.38492
6.2,22,2,3.32728
6.2,23,8,42.0313
6.2,24,1,188.198
6.2,25,2,25.8931
6.2,26,4,145.109
6.2,27,4,4.10844
6.2,28,3,2.78442
6.2,29,4,65.6021
6.2,30,4,184.811
6.2,31,6,77.6631
6.2,32,5,129.986
6.2,33,2,25.8931
6.2,34,2,31.6699
6.2,35,5,176.588
6.2,36,4,3.38492
6.2,37,4,12.8411
6.2,38,4,4.10844
6.2,39,8,36.477
6.2,40,0,318.522
6.2,41,3,9.57056
6.2,42,5,30.1514
6.2,43,2,31.6699
6.2,44,3,1.35473
6.2,45,0,410.079
6.2,46,6,30.1514
6.2,47,6,85.8459
6.2,48,1,225.878
6.2,49,4,3.23543
6.2,50,7,122.117
6.2,51,6,1.69532
6.2,52,4,18.1365
6.2,53,5,21.4699
6.2,54,3,3.32555
6.2,55,1,86.3256
6.2,56,1,4.09766
6.2,57,3,23.2549
6.2,58,6,93.5823
6.2,59,3,1.36682
6.2,60,2,3.32728
6.2,61,5,100.935
6.2,62,1,4.09766
6.2,63,4,18.2263
6.2,64,2,4.17164
6.2,65,4,18.1365
6.2,66,0,480.876
6.2,67,4,12.8411
6.2,68,8,49.0729
6.2,69,6,1.69532
6.2,70,5,2.77418
6.2,71,4,28.322
6.2,72,4,19.0349
6.2,73,3,2.46173
6.2,74,7,43.2732
6.2,75,10,36.477
6.2,76,0,352.78
6.2,77,6,132.788
6.2,78,4,28.322
6.2,79,10,19.18
6.2,80,8,1.73072
6.2,81,1,0.310161
6.2,82,2,224.324
6.2,83,7,85.8459
6.2,84,5,2.77418
6.2,85,3,93.392
6.2,86,4,125.812
6.2,87,5,89.1215
6.2,88,6,1.44101
6.2,89,5,61.1801
6.2,90,1,224.008
6.2,91,8,98.6634
6.2,92,4,48.9402
6.2,93,4,34.6752
6.2,94,0,352.78
6.2,95,3,1.35473
6.2,96,5,43.6289
6.2,97,8,1.73072
6.2,98,2,5.49401
6.2,99,2,191.504
6.2,100,1,224.008
6.2,101,0,271.022
6.2,102,5,108.179
6.2,103,4,175.153
6.2,104,3,2.46173
6.2,105,4,3.23543
6.2,106,2,4.17164
6.2,107,2,210.651
6.2,108,4,34.6752
6.2,109,5,54.5065
6.2,110,2,1.35695
6.2,111,4,99.0557
6.2,112,8,3.98935
6.2,113,3,23.2549
6.2,114,3,132.788
6.2,115,5,54.5065
6.2,116,1,86.3256
6.2,117,10,45.5991
6.2,118,2,5.49401
6.2,119,3,172.755
6.2,120,3,6.12719
6.2,121,3,151.519
6.2,122,8,42.0313
6.2,123,5,36.881
6.2,124,8,3.98935
6.2,125,6,172.658
6.2,126,6,1.44101
6.2,127,5,50.7467
6.2,128,7,147.262
6.2,129,3,72.5593
6.2,130,5,43.6289
6.2,131,6,1.79805
6.4,0,4,105.219
6.4,1,2,1.44003
6.4,2,7,36.881
6.4,3,8,25.2548
6.4,4,5,107.52
6.4,5,7,93.5823
6.4,6,5,156.74
6.4,7,8,132.288
6.4,8,2,51.0006
6.4,9,2,132.134
6.4,10,3,1.36682
6.4,11,2,1.35695
6.4,12,4,18.2263
6.4,13,4,48.5988
6.4,14,4,118.439
6.4,15,5,77.6631
6.4,16,4,19.0349
6.4,17,5,21.4699
6.4,18,3,93.392
6.4,19,1,0.310161
6.4,20,2,1.44003
6.4,21,4,3.38492
6.4,22,2,3.32728
6.4,23,8,42.0313
6.4,24,1,188.198
6.4,25,2,25.8931
6.4,26,4,145.109
6.4,27,4,4.10844
6.4,28,3,2.78442
6.4,29,4,65.6021
6.4,30,4,184.811
6.4,31,6,77.6631
6.4,32,5,129.986
6.4,33,2,25.8931
6.4,34,2,31.6699
6.4,35,5,176.588
6.4,36,4,3.38492
6.4,37,4,12.8411
6.4,38,4,4.10844
6.4,39,8,36.477
6.4,40,0,318.522
6.4,41,3,9.57056
6.4,42,5,30.1514
6.4,43,2,31.6699
6.4,44,3,1.35473
6.4,45,0,410.079
6.4,46,6,30.1514
6.4,47,6,85.8459
6.4,48,1,225.878
6.4,49,4,3.23543
6.4,50,7,122.117
6.4,51,6,1.69532
6.4,52,4,18.1365
6.4,53,5,21.4699
6.4,54,3,3.32555
6.4,55,1,86.3256
6.4,56,1,4.09766
6.4,57,3,23.2549
6.4,58,6,93.5823
6.4,59,3,1.36682
6.4,60,2,3.32728
6.4,61,5,100.935
6.4,62,1,4.09766
6.4,63,4,18.2263
6.4,64,2,4.17164
6.4,65,4,18.1365
6.4,66,0,480.876
6.4,67,4,12.8411
6.4,68,8,49.0729
6.4,69,6,1.69532
6.4,70,5,2.77418
6.4,71,4,28.322
6.4,72,4,19.0349
6.4,73,3,2.46173
6.4,74,7,43.2732
6.4,75,10,36.477
6.4,76,0,352.78
6.4,77,6,132.788
6.4,78,4,28.322
6.4,79,10,19.18
6.4,80,8,1.73072
6.4,81,1,0.310161
6.4,82,2,224.324
6.4,83,7,85.8459
6.4,84,5,2.77418
6.4,85,3,93.392
6.4,86,4,125.812
6.4,87,5,89.1215
6.4,88,6,1.44101
6.4,89,5,61.1801
6.4,90,1,224.008
6.4,91,8,98.6634
6.4,92,4,48.9402
