timestamp,nodeId,attackType,detectionScore
1,0,ml_anomaly,1
1,2,ml_anomaly,1
1,4,ml_anomaly,1
1,6,ml_anomaly,1
1.1,0,rule_violation,high_frequency
1.2,0,rule_violation,high_frequency
1.3,0,rule_violation,high_frequency
1.4,0,rule_violation,high_frequency
1.5,0,ml_anomaly,3
1.5,2,ml_anomaly,3
1.5,4,ml_anomaly,3
1.5,6,ml_anomaly,3
1.5,0,rule_violation,high_frequency
1.6,0,rule_violation,high_frequency
1.7,0,rule_violation,high_frequency
1.8,0,rule_violation,high_frequency
1.9,0,rule_violation,high_frequency
2,0,ml_anomaly,6
2,2,ml_anomaly,6
2,4,ml_anomaly,6
2,6,ml_anomaly,6
2,0,rule_violation,high_frequency
2.1,0,hybrid_detection,trust_score=0
2.1,0,rule_violation,high_frequency
2.1,25,rule_violation,high_frequency
2.2,0,rule_violation,high_frequency
2.2,25,rule_violation,high_frequency
2.3,0,hybrid_detection,trust_score=0
2.3,0,rule_violation,high_frequency
2.3,25,rule_violation,high_frequency
2.4,0,rule_violation,high_frequency
2.4,25,rule_violation,high_frequency
2.5,0,ml_anomaly,9
2.5,2,ml_anomaly,9
2.5,4,ml_anomaly,9
2.5,6,ml_anomaly,9
2.5,0,hybrid_detection,trust_score=0
2.5,25,rule_violation,high_frequency
2.7,0,hybrid_detection,trust_score=0
2.9,0,hybrid_detection,trust_score=0
3,0,ml_anomaly,13
3,2,ml_anomaly,13
3,4,ml_anomaly,13
3,6,ml_anomaly,13
3.1,0,hybrid_detection,trust_score=0
3.3,0,hybrid_detection,trust_score=0
3.5,0,ml_anomaly,16
3.5,2,ml_anomaly,16
3.5,4,ml_anomaly,16
3.5,6,ml_anomaly,16
3.5,0,hybrid_detection,trust_score=0
3.7,0,hybrid_detection,trust_score=0
3.9,0,hybrid_detection,trust_score=0
4,0,ml_anomaly,20
4,2,ml_anomaly,20
4,4,ml_anomaly,20
4,6,ml_anomaly,20
4.1,0,hybrid_detection,trust_score=0
4.1,2,hybrid_detection,trust_score=0
4.3,0,hybrid_detection,trust_score=0
4.3,2,hybrid_detection,trust_score=0
4.5,0,ml_anomaly,23
4.5,2,ml_anomaly,23
4.5,4,ml_anomaly,23
4.5,6,ml_anomaly,23
4.5,0,hybrid_detection,trust_score=0
4.5,2,hybrid_detection,trust_score=0
4.7,0,hybrid_detection,trust_score=0
4.7,2,hybrid_detection,trust_score=0
4.9,0,hybrid_detection,trust_score=0
4.9,2,hybrid_detection,trust_score=0
5,0,ml_anomaly,27
5,2,ml_anomaly,27
5,4,ml_anomaly,27
5,6,ml_anomaly,27
5.1,0,hybrid_detection,trust_score=0
5.1,2,hybrid_detection,trust_score=0
5.1,4,hybrid_detection,trust_score=0
5.1,6,hybrid_detection,trust_score=0
5.3,0,hybrid_detection,trust_score=0
5.3,2,hybrid_detection,trust_score=0
5.3,4,hybrid_detection,trust_score=0
5.3,6,hybrid_detection,trust_score=0
5.5,0,ml_anomaly,30
5.5,2,ml_anomaly,30
5.5,4,ml_anomaly,30
5.5,6,ml_anomaly,30
5.5,0,hybrid_detection,trust_score=0
5.5,2,hybrid_detection,trust_score=0
5.5,4,hybrid_detection,trust_score=0
5.5,6,hybrid_detection,trust_score=0
5.7,0,hybrid_detection,trust_score=0
5.7,2,hybrid_detection,trust_score=0
5.7,4,hybrid_detection,trust_score=0
5.7,6,hybrid_detection,trust_score=0
5.9,0,hybrid_detection,trust_score=0
5.9,2,hybrid_detection,trust_score=0
5.9,4,hybrid_detection,trust_score=0
5.9,6,hybrid_detection,trust_score=0
6,0,ml_anomaly,34
6,2,ml_anomaly,34
6,4,ml_anomaly,34
6,6,ml_anomaly,34
6.1,0,hybrid_detection,trust_score=0
6.1,2,hybrid_detection,trust_score=0
6.1,4,hybrid_detection,trust_score=0
6.1,6,hybrid_detection,trust_score=0
6.3,0,hybrid_detection,trust_score=0
6.3,2,hybrid_detection,trust_score=0
6.3,4,hybrid_detection,trust_score=0
6.3,6,hybrid_detection,trust_score=0
6.5,0,ml_anomaly,37
6.5,2,ml_anomaly,37
6.5,4,ml_anomaly,37
6.5,6,ml_anomaly,37
6.5,0,hybrid_detection,trust_score=0
6.5,2,hybrid_detection,trust_score=0
6.5,4,hybrid_detection,trust_score=0
6.5,6,hybrid_detection,trust_score=0
6.7,0,hybrid_detection,trust_score=0
6.7,2,hybrid_detection,trust_score=0
6.7,4,hybrid_detection,trust_score=0
6.7,6,hybrid_detection,trust_score=0
6.9,0,hybrid_detection,trust_score=0
6.9,2,hybrid_detection,trust_score=0
6.9,4,hybrid_detection,trust_score=0
6.9,6,hybrid_detection,trust_score=0
7,0,ml_anomaly,41
7,2,ml_anomaly,41
7,4,ml_anomaly,41
7,6,ml_anomaly,41
7.1,0,hybrid_detection,trust_score=0
7.1,2,hybrid_detection,trust_score=0
7.1,4,hybrid_detection,trust_score=0
7.1,6,hybrid_detection,trust_score=0
7.3,0,hybrid_detection,trust_score=0
7.3,2,hybrid_detection,trust_score=0
7.3,4,hybrid_detection,trust_score=0
7.3,6,hybrid_detection,trust_score=0
7.5,0,ml_anomaly,44
7.5,2,ml_anomaly,44
7.5,4,ml_anomaly,44
7.5,6,ml_anomaly,44
7.5,0,hybrid_detection,trust_score=0
7.5,2,hybrid_detection,trust_score=0
7.5,4,hybrid_detection,trust_score=0
7.5,6,hybrid_detection,trust_score=0
7.7,0,hybrid_detection,trust_score=0
7.7,2,hybrid_detection,trust_score=0
7.7,4,hybrid_detection,trust_score=0
7.7,6,hybrid_detection,trust_score=0
7.9,0,hybrid_detection,trust_score=0
7.9,2,hybrid_detection,trust_score=0
7.9,4,hybrid_detection,trust_score=0
7.9,6,hybrid_detection,trust_score=0
8,0,ml_anomaly,48
8,2,ml_anomaly,48
8,4,ml_anomaly,48
8,6,ml_anomaly,48
8.1,0,hybrid_detection,trust_score=0
8.1,2,hybrid_detection,trust_score=0
8.1,4,hybrid_detection,trust_score=0
8.1,6,hybrid_detection,trust_score=0
8.3,0,hybrid_detection,trust_score=0
8.3,2,hybrid_detection,trust_score=0
8.3,4,hybrid_detection,trust_score=0
8.3,6,hybrid_detection,trust_score=0
8.5,0,ml_anomaly,51
8.5,2,ml_anomaly,51
8.5,4,ml_anomaly,51
8.5,6,ml_anomaly,51
8.5,0,hybrid_detection,trust_score=0
8.5,2,hybrid_detection,trust_score=0
8.5,4,hybrid_detection,trust_score=0
8.5,6,hybrid_detection,trust_score=0
8.7,0,hybrid_detection,trust_score=0
8.7,2,hybrid_detection,trust_score=0
8.7,4,hybrid_detection,trust_score=0
8.7,6,hybrid_detection,trust_score=0
8.9,0,hybrid_detection,trust_score=0
8.9,2,hybrid_detection,trust_score=0
8.9,4,hybrid_detection,trust_score=0
8.9,6,hybrid_detection,trust_score=0
9,0,ml_anomaly,55
9,2,ml_anomaly,55
9,4,ml_anomaly,55
9,6,ml_anomaly,55
9.1,0,hybrid_detection,trust_score=0
9.1,2,hybrid_detection,trust_score=0
9.1,4,hybrid_detection,trust_score=0
9.1,6,hybrid_detection,trust_score=0
9.3,0,hybrid_detection,trust_score=0
9.3,2,hybrid_detection,trust_score=0
9.3,4,hybrid_detection,trust_score=0
9.3,6,hybrid_detection,trust_score=0
9.5,0,ml_anomaly,58
9.5,2,ml_anomaly,58
9.5,4,ml_anomaly,58
9.5,6,ml_anomaly,58
9.5,0,hybrid_detection,trust_score=0
9.5,2,hybrid_detection,trust_score=0
9.5,4,hybrid_detection,trust_score=0
9.5,6,hybrid_detection,trust_score=0
9.7,0,hybrid_detection,trust_score=0
9.7,2,hybrid_detection,trust_score=0
9.7,4,hybrid_detection,trust_score=0
9.7,6,hybrid_detection,trust_score=0
9.9,0,hybrid_detection,trust_score=0
9.9,2,hybrid_detection,trust_score=0
9.9,4,hybrid_detection,trust_score=0
9.9,6,hybrid_detection,trust_score=0
10,0,ml_anomaly,62
10,2,ml_anomaly,62
10,4,ml_anomaly,62
10,6,ml_anomaly,62
10.1,0,hybrid_detection,trust_score=0
10.1,2,hybrid_detection,trust_score=0
10.1,4,hybrid_detection,trust_score=0
10.1,6,hybrid_detection,trust_score=0
10.3,0,hybrid_detection,trust_score=0
10.3,2,hybrid_detection,trust_score=0
10.3,4,hybrid_detection,trust_score=0
10.3,6,hybrid_detection,trust_score=0
10.5,0,ml_anomaly,65
10.5,2,ml_anomaly,65
10.5,4,ml_anomaly,65
10.5,6,ml_anomaly,65
10.5,0,hybrid_detection,trust_score=0
10.5,2,hybrid_detection,trust_score=0
10.5,4,hybrid_detection,trust_score=0
10.5,6,hybrid_detection,trust_score=0
10.7,0,hybrid_detection,trust_score=0
10.7,2,hybrid_detection,trust_score=0
10.7,4,hybrid_detection,trust_score=0
10.7,6,hybrid_detection,trust_score=0
10.9,0,hybrid_detection,trust_score=0
10.9,2,hybrid_detection,trust_score=0
10.9,4,hybrid_detection,trust_score=0
10.9,6,hybrid_detection,trust_score=0
11,0,ml_anomaly,69
11,2,ml_anomaly,69
11,4,ml_anomaly,69
11,6,ml_anomaly,69
11.1,0,hybrid_detection,trust_score=0
11.1,2,hybrid_detection,trust_score=0
11.1,4,hybrid_detection,trust_score=0
11.1,6,hybrid_detection,trust_score=0
11.3,0,hybrid_detection,trust_score=0
11.3,2,hybrid_detection,trust_score=0
11.3,4,hybrid_detection,trust_score=0
11.3,6,hybrid_detection,trust_score=0
11.5,0,ml_anomaly,72
11.5,2,ml_anomaly,72
11.5,4,ml_anomaly,72
11.5,6,ml_anomaly,72
11.5,0,hybrid_detection,trust_score=0
11.5,2,hybrid_detection,trust_score=0
11.5,4,hybrid_detection,trust_score=0
11.5,6,hybrid_detection,trust_score=0
11.7,0,hybrid_detection,trust_score=0
11.7,2,hybrid_detection,trust_score=0
11.7,4,hybrid_detection,trust_score=0
11.7,6,hybrid_detection,trust_score=0
11.9,0,hybrid_detection,trust_score=0
11.9,2,hybrid_detection,trust_score=0
11.9,4,hybrid_detection,trust_score=0
11.9,6,hybrid_detection,trust_score=0
12,0,ml_anomaly,76
12,2,ml_anomaly,76
12,4,ml_anomaly,76
12,6,ml_anomaly,76
12.1,0,hybrid_detection,trust_score=0
12.1,2,hybrid_detection,trust_score=0
12.1,4,hybrid_detection,trust_score=0
12.1,6,hybrid_detection,trust_score=0
12.3,0,hybrid_detection,trust_score=0
12.3,2,hybrid_detection,trust_score=0
12.3,4,hybrid_detection,trust_score=0
