t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
306.0,311.0,5000,100,25.0,0.0,73.56,,highway,density-100
311.0,316.0,5000,100,25.0,0.0,73.56,,highway,density-100
316.0,321.0,5000,100,25.0,0.0,73.56,,highway,density-100
321.0,326.0,5000,100,25.0,0.0,73.56,,highway,density-100
326.0,331.0,5000,100,25.0,0.0,73.56,,highway,density-100
331.0,336.0,5000,100,25.0,0.0,73.56,,highway,density-100
336.0,341.0,5000,100,25.0,0.0,73.56,,highway,density-100
341.0,346.0,5000,100,25.0,0.0,73.56,,highway,density-100
346.0,351.0,5000,100,25.0,0.0,73.56,,highway,density-100
351.0,356.0,5000,100,25.0,0.0,73.56,,highway,density-100
356.0,361.0,5000,100,25.0,0.0,73.56,,highway,density-100
361.0,366.0,5000,100,25.0,0.0,73.56,,highway,density-100
366.0,371.0,5000,100,25.0,0.0,73.56,,highway,density-100
371.0,376.0,5000,100,25.0,0.0,73.56,,highway,density-100
376.0,381.0,5000,100,25.0,0.0,73.56,,highway,density-100
381.0,386.0,5000,100,25.0,0.0,73.56,,highway,density-100
386.0,391.0,5000,100,25.0,0.0,73.56,,highway,density-100
391.0,396.0,5000,100,25.0,0.0,73.56,,highway,density-100
396.0,401.0,5000,100,25.0,0.0,73.56,,highway,density-100
401.0,406.0,5000,100,25.0,0.0,73.56,,highway,density-100
406.0,411.0,5000,100,25.0,0.0,73.56,,highway,density-100
411.0,416.0,5000,100,25.0,0.0,73.56,,highway,density-100
416.0,421.0,5000,100,25.0,0.0,73.56,,highway,density-100
421.0,426.0,5000,100,25.0,0.0,73.56,,highway,density-100
426.0,431.0,5000,100,25.0,0.0,73.56,,highway,density-100
431.0,436.0,5000,100,25.0,0.0,73.56,,highway,density-100
436.0,441.0,5000,100,25.0,0.0,73.56,,highway,density-100
441.0,446.0,5000,100,25.0,0.0,73.56,,highway,density-100
446.0,451.0,5000,100,25.0,0.0,73.56,,highway,density-100
451.0,456.0,5000,100,25.0,0.0,73.56,,highway,density-100
456.0,461.0,5000,100,25.0,0.0,73.56,,highway,density-100
461.0,466.0,5000,100,25.0,0.0,73.56,,highway,density-100
466.0,471.0,5000,100,25.0,0.0,73.56,,highway,density-100
471.0,476.0,5000,100,25.0,0.0,73.56,,highway,density-100
476.0,481.0,5000,100,25.0,0.0,73.56,,highway,density-100
481.0,486.0,5000,100,25.0,0.0,73.56,,highway,density-100
486.0,491.0,5000,100,25.0,0.0,73.56,,highway,density-100
491.0,496.0,5000,100,25.0,0.0,73.56,,highway,density-100
496.0,501.0,5000,100,25.0,0.0,73.56,,highway,density-100
501.0,506.0,5000,100,25.0,0.0,73.56,,highway,density-100
506.0,511.0,5000,100,25.0,0.0,73.56,,highway,density-100
511.0,516.0,5000,100,25.0,0.0,73.56,,highway,density-100
516.0,521.0,5000,100,25.0,0.0,73.56,,highway,density-100
521.0,526.0,5000,100,25.0,0.0,73.56,,highway,density-100
526.0,531.0,5000,100,25.0,0.0,73.56,,highway,density-100
531.0,536.0,5000,100,25.0,0.0,73.56,,highway,density-100
536.0,541.0,5000,100,25.0,0.0,73.56,,highway,density-100
541.0,546.0,5000,100,25.0,0.0,73.56,,highway,density-100
546.0,551.0,5000,100,25.0,0.0,73.56,,highway,density-100
551.0,556.0,5000,100,25.0,0.0,73.56,,highway,density-100
556.0,561.0,5000,100,25.0,0.0,73.56,,highway,density-100
561.0,566.0,5000,100,25.0,0.0,73.56,,highway,density-100
566.0,571.0,5000,100,25.0,0.0,73.56,,highway,density-100
571.0,576.0,5000,100,25.0,0.0,73.56,,highway,density-100
576.0,581.0,5000,100,25.0,0.0,73.56,,highway,density-100
581.0,586.0,5000,100,25.0,0.0,73.56,,highway,density-100
